,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13355960965265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.912939717296277,0.0,0.0,8.087769824799148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.886829037608952,10.10278859822164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95937894614279,10.769662347488229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944833034882071,0.0,0.0,0.0,0.0,0.2434314894944651,0.0,0.0,0.0,0.0,10.530668441285396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187585895721225,0.9872032720332439,1.1851450717167336,0.42163570796658295,0.2434314894944651,1.1824821771093756,1.806645253937112,1.24571323975014,0.0,0.0,0.0,0.0,0.944833034882071,1.8001931773845208,0.6185307303212669,0.4191178000070675,1.9042529612555033,2.5643330045769597,1.3279092268858104,0.5649471242988785,1.2273269730889755,5.214919444515248,25.33620441114984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
