campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,hot,wash_ele,wash_cold,wash_hot
West,902,West Central Plant,2019,1,1,0,463.74,148.6619718,0,463.74,148.6619718,0
West,902,West Central Plant,2019,1,1,1,457,180.1408451,0,457,180.1408451,0
West,902,West Central Plant,2019,1,1,2,455.01,191.7253521,0,455.01,191.7253521,0
West,902,West Central Plant,2019,1,1,3,475.54,186.3028169,0,475.54,186.3028169,0
West,902,West Central Plant,2019,1,1,4,461.61,233.4859155,0,461.61,233.4859155,0
West,902,West Central Plant,2019,1,1,5,275.05,410.8450704,0,275.05,410.8450704,0
West,902,West Central Plant,2019,1,1,6,269.97,309.6830986,0,269.97,309.6830986,0
West,902,West Central Plant,2019,1,1,7,257.65,329.8239437,0,257.65,329.8239437,0
West,902,West Central Plant,2019,1,1,8,204.44,342.9577465,0,204.44,342.9577465,0
West,902,West Central Plant,2019,1,1,9,221.46,347.6760563,0,221.46,347.6760563,0
West,902,West Central Plant,2019,1,1,10,203.86,405.3873239,0,203.86,405.3873239,0
West,902,West Central Plant,2019,1,1,11,188.07,447.1830986,0,188.07,447.1830986,0
West,902,West Central Plant,2019,1,1,12,183.51,469.9295775,0,183.51,469.9295775,0
West,902,West Central Plant,2019,1,1,13,182.13,502.9577465,0,182.13,502.9577465,0
West,902,West Central Plant,2019,1,1,14,181.71,558.8028169,0,181.71,558.8028169,0
West,902,West Central Plant,2019,1,1,15,179.64,525.8450704,0,179.64,525.8450704,0
West,902,West Central Plant,2019,1,1,16,177.33,538.6619718,0,177.33,538.6619718,0
West,902,West Central Plant,2019,1,1,17,195.66,519.4366197,0,195.66,519.4366197,0
West,902,West Central Plant,2019,1,1,18,246.28,473.4507042,0,246.28,473.4507042,0
West,902,West Central Plant,2019,1,1,19,245.45,441.056338,0,245.45,441.056338,0
West,902,West Central Plant,2019,1,1,20,247.72,407.5704225,0,247.72,407.5704225,0
West,902,West Central Plant,2019,1,1,21,258.24,356.3380282,0,258.24,356.3380282,0
West,902,West Central Plant,2019,1,1,22,429.53,318.7323944,0,429.53,318.7323944,0
West,902,West Central Plant,2019,1,1,23,679.87,192.7112676,0,679.87,192.7112676,0
West,902,West Central Plant,2019,1,2,0,647.11,191.971831,0,647.11,191.971831,0
West,902,West Central Plant,2019,1,2,1,608.96,205.4929577,0,608.96,205.4929577,0
West,902,West Central Plant,2019,1,2,2,492.52,211.1267606,0,492.52,211.1267606,0
West,902,West Central Plant,2019,1,2,3,272.76,178.8732394,0,272.76,178.8732394,0
West,902,West Central Plant,2019,1,2,4,276.57,219.4366197,0,276.57,219.4366197,0
West,902,West Central Plant,2019,1,2,5,291.26,430.1760563,0,291.26,430.1760563,0
West,902,West Central Plant,2019,1,2,6,276.88,278.556338,0,276.88,278.556338,0
West,902,West Central Plant,2019,1,2,7,263.96,335.915493,0,263.96,335.915493,0
West,902,West Central Plant,2019,1,2,8,229.48,367.2183099,0,229.48,367.2183099,0
West,902,West Central Plant,2019,1,2,9,223.93,333.2042254,0,223.93,333.2042254,0
West,902,West Central Plant,2019,1,2,10,210.38,385.8450704,0,210.38,385.8450704,0
West,902,West Central Plant,2019,1,2,11,205.05,458.0633803,0,205.05,458.0633803,0
West,902,West Central Plant,2019,1,2,12,191.8,487.5352113,0,191.8,487.5352113,0
West,902,West Central Plant,2019,1,2,13,189.44,489.2253521,0,189.44,489.2253521,0
West,902,West Central Plant,2019,1,2,14,186.23,573.1338028,0,186.23,573.1338028,0
West,902,West Central Plant,2019,1,2,15,183.51,594.6126761,0,183.51,594.6126761,0
West,902,West Central Plant,2019,1,2,16,181.27,590.5633803,0,181.27,590.5633803,0
West,902,West Central Plant,2019,1,2,17,197.05,537.0422535,0,197.05,537.0422535,0
West,902,West Central Plant,2019,1,2,18,258.63,501.1619718,0,258.63,501.1619718,0
West,902,West Central Plant,2019,1,2,19,257.97,421.3732394,0,257.97,421.3732394,0
West,902,West Central Plant,2019,1,2,20,259.39,402.6408451,0,259.39,402.6408451,0
West,902,West Central Plant,2019,1,2,21,256.47,377.5,0,256.47,377.5,0
West,902,West Central Plant,2019,1,2,22,244.23,349.1901408,0,244.23,349.1901408,0
West,902,West Central Plant,2019,1,2,23,291.9,199.3309859,0,291.9,199.3309859,0
West,902,West Central Plant,2019,1,3,0,714.37,104.7535211,0,714.37,104.7535211,0
West,902,West Central Plant,2019,1,3,1,691.2,192.7112676,0,691.2,192.7112676,0
West,902,West Central Plant,2019,1,3,2,638.4,199.1901408,0,638.4,199.1901408,0
West,902,West Central Plant,2019,1,3,3,517.14,190.4225352,0,517.14,190.4225352,0
West,902,West Central Plant,2019,1,3,4,292.17,167.2887324,0,292.17,167.2887324,0
West,902,West Central Plant,2019,1,3,5,296.41,346.8661972,0,296.41,346.8661972,0
West,902,West Central Plant,2019,1,3,6,301.31,196.7253521,0,301.31,196.7253521,0
West,902,West Central Plant,2019,1,3,7,275.11,207.0070423,0,275.11,207.0070423,0
West,902,West Central Plant,2019,1,3,8,221.83,211.3380282,0,221.83,211.3380282,0
West,902,West Central Plant,2019,1,3,9,211.3,227.9225352,0,211.3,227.9225352,0
West,902,West Central Plant,2019,1,3,10,210.65,292.6760563,0,210.65,292.6760563,0
West,902,West Central Plant,2019,1,3,11,203.9,346.2676056,0,203.9,346.2676056,0
West,902,West Central Plant,2019,1,3,12,193.49,391.2676056,0,193.49,391.2676056,0
West,902,West Central Plant,2019,1,3,13,188.61,428.028169,0,188.61,428.028169,0
West,902,West Central Plant,2019,1,3,14,185.12,494.471831,0,185.12,494.471831,0
West,902,West Central Plant,2019,1,3,15,183.26,489.1901408,0,183.26,489.1901408,0
West,902,West Central Plant,2019,1,3,16,177.21,495.3521127,0,177.21,495.3521127,0
West,902,West Central Plant,2019,1,3,17,186.76,480.0704225,0,186.76,480.0704225,0
West,902,West Central Plant,2019,1,3,18,238.12,443.028169,0,238.12,443.028169,0
West,902,West Central Plant,2019,1,3,19,248.48,382.7112676,0,248.48,382.7112676,0
West,902,West Central Plant,2019,1,3,20,256.05,350.4929577,0,256.05,350.4929577,0
West,902,West Central Plant,2019,1,3,21,256.42,318.3802817,0,256.42,318.3802817,0
West,902,West Central Plant,2019,1,3,22,237.58,296.1267606,0,237.58,296.1267606,0
West,902,West Central Plant,2019,1,3,23,399.52,135,0,399.52,135,0
West,902,West Central Plant,2019,1,4,0,475.83,102.0774648,0,475.83,102.0774648,0
West,902,West Central Plant,2019,1,4,1,475.78,100.5985915,0,475.78,100.5985915,0
West,902,West Central Plant,2019,1,4,2,459.81,105.3521127,0,459.81,105.3521127,0
West,902,West Central Plant,2019,1,4,3,484.36,106.9366197,0,484.36,106.9366197,0
West,902,West Central Plant,2019,1,4,4,353.4,132.7464789,0,353.4,132.7464789,0
West,902,West Central Plant,2019,1,4,5,286.47,227.7464789,0,286.47,227.7464789,0
West,902,West Central Plant,2019,1,4,6,277.59,211.0211268,0,277.59,211.0211268,0
West,902,West Central Plant,2019,1,4,7,266.65,242.4295775,0,266.65,242.4295775,0
West,902,West Central Plant,2019,1,4,8,222.31,268.415493,0,222.31,268.415493,0
West,902,West Central Plant,2019,1,4,9,209.35,326.1619718,0,209.35,326.1619718,0
West,902,West Central Plant,2019,1,4,10,207.97,451.6549296,0,207.97,451.6549296,0
West,902,West Central Plant,2019,1,4,11,182.08,515.1408451,0,182.08,515.1408451,0
West,902,West Central Plant,2019,1,4,12,172.74,645.9507042,0,172.74,645.9507042,0
West,902,West Central Plant,2019,1,4,13,166.44,742.1830986,0,166.44,742.1830986,0
West,902,West Central Plant,2019,1,4,14,164.01,809.6478873,0,164.01,809.6478873,0
West,902,West Central Plant,2019,1,4,15,147.07,874.0140845,0,147.07,874.0140845,0
West,902,West Central Plant,2019,1,4,16,148.85,908.2746479,0,148.85,908.2746479,0
West,902,West Central Plant,2019,1,4,17,169.68,842.1830986,0,169.68,842.1830986,0
West,902,West Central Plant,2019,1,4,18,222.35,726.584507,0,222.35,726.584507,0
West,902,West Central Plant,2019,1,4,19,231.06,683.2042254,0,231.06,683.2042254,0
West,902,West Central Plant,2019,1,4,20,232.76,618.556338,0,232.76,618.556338,0
West,902,West Central Plant,2019,1,4,21,235.01,568.5915493,0,235.01,568.5915493,0
West,902,West Central Plant,2019,1,4,22,224.69,491.584507,0,224.69,491.584507,0
West,902,West Central Plant,2019,1,4,23,228.27,234.1901408,0,228.27,234.1901408,0
West,902,West Central Plant,2019,1,5,0,219.12,206.443662,0,219.12,206.443662,0
West,902,West Central Plant,2019,1,5,1,524.26,178.7676056,0,524.26,178.7676056,0
West,902,West Central Plant,2019,1,5,2,710.52,217.2183099,0,710.52,217.2183099,0
West,902,West Central Plant,2019,1,5,3,693.59,271.0211268,0,693.59,271.0211268,0
West,902,West Central Plant,2019,1,5,4,665.73,252.6408451,0,665.73,252.6408451,0
West,902,West Central Plant,2019,1,5,5,641.89,290.528169,0,641.89,290.528169,0
West,902,West Central Plant,2019,1,5,6,376.92,441.1971831,0,376.92,441.1971831,0
West,902,West Central Plant,2019,1,5,7,230.77,330.3521127,0,230.77,330.3521127,0
West,902,West Central Plant,2019,1,5,8,176.25,335.4577465,0,176.25,335.4577465,0
West,902,West Central Plant,2019,1,5,9,164.79,356.4788732,0,164.79,356.4788732,0
West,902,West Central Plant,2019,1,5,10,147.44,440.6338028,0,147.44,440.6338028,0
West,902,West Central Plant,2019,1,5,11,137.51,606.1267606,0,137.51,606.1267606,0
West,902,West Central Plant,2019,1,5,12,127.13,660.8802817,0,127.13,660.8802817,0
West,902,West Central Plant,2019,1,5,13,129.66,714.9647887,0,129.66,714.9647887,0
West,902,West Central Plant,2019,1,5,14,124.13,774.1197183,0,124.13,774.1197183,0
West,902,West Central Plant,2019,1,5,15,121.21,739.6126761,0,121.21,739.6126761,0
West,902,West Central Plant,2019,1,5,16,127.05,720.6690141,0,127.05,720.6690141,0
West,902,West Central Plant,2019,1,5,17,144.44,691.0915493,0,144.44,691.0915493,0
West,902,West Central Plant,2019,1,5,18,195.96,627.9577465,0,195.96,627.9577465,0
West,902,West Central Plant,2019,1,5,19,205.3,638.8028169,0,205.3,638.8028169,0
West,902,West Central Plant,2019,1,5,20,199.29,581.1971831,0,199.29,581.1971831,0
West,902,West Central Plant,2019,1,5,21,194.91,506.7605634,0,194.91,506.7605634,0
West,902,West Central Plant,2019,1,5,22,203.84,256.2676056,0,203.84,256.2676056,0
West,902,West Central Plant,2019,1,5,23,206.62,208.4859155,0,206.62,208.4859155,0
West,902,West Central Plant,2019,1,6,0,206.18,246.3380282,0,206.18,246.3380282,0
West,902,West Central Plant,2019,1,6,1,205.4,234.6478873,0,205.4,234.6478873,0
West,902,West Central Plant,2019,1,6,2,215.3,211.056338,0,215.3,211.056338,0
West,902,West Central Plant,2019,1,6,3,215.94,255.2816901,0,215.94,255.2816901,0
West,902,West Central Plant,2019,1,6,4,216.05,240.1760563,0,216.05,240.1760563,0
West,902,West Central Plant,2019,1,6,5,214.67,229.8943662,0,214.67,229.8943662,0
West,902,West Central Plant,2019,1,6,6,214.26,257.7816901,0,214.26,257.7816901,0
West,902,West Central Plant,2019,1,6,7,198.97,237.6408451,0,198.97,237.6408451,0
West,902,West Central Plant,2019,1,6,8,135.89,432.4647887,0,135.89,432.4647887,0
West,902,West Central Plant,2019,1,6,9,130.07,401.7957746,0,130.07,401.7957746,0
West,902,West Central Plant,2019,1,6,10,141.05,421.1267606,0,141.05,421.1267606,0
West,902,West Central Plant,2019,1,6,11,143.85,455.2112676,0,143.85,455.2112676,0
West,902,West Central Plant,2019,1,6,12,144.57,486.3732394,0,144.57,486.3732394,0
West,902,West Central Plant,2019,1,6,13,144.03,461.1971831,0,144.03,461.1971831,0
West,902,West Central Plant,2019,1,6,14,138.27,500.1408451,0,138.27,500.1408451,0
West,902,West Central Plant,2019,1,6,15,144.1,497.9225352,0,144.1,497.9225352,0
West,902,West Central Plant,2019,1,6,16,149.25,484.7535211,0,149.25,484.7535211,0
West,902,West Central Plant,2019,1,6,17,161.17,485.8802817,0,161.17,485.8802817,0
West,902,West Central Plant,2019,1,6,18,220.79,479.8591549,0,220.79,479.8591549,0
West,902,West Central Plant,2019,1,6,19,217.56,524.4014085,0,217.56,524.4014085,0
West,902,West Central Plant,2019,1,6,20,537.01,379.3309859,0,537.01,379.3309859,0
West,902,West Central Plant,2019,1,6,21,708.41,435.1408451,0,708.41,435.1408451,0
West,902,West Central Plant,2019,1,6,22,704.5,433.7323944,0,704.5,433.7323944,0
West,902,West Central Plant,2019,1,6,23,687.57,249.8943662,0,687.57,249.8943662,0
West,902,West Central Plant,2019,1,7,0,688.13,185.4225352,0,688.13,185.4225352,0
West,902,West Central Plant,2019,1,7,1,633.22,230.7042254,0,633.22,230.7042254,0
West,902,West Central Plant,2019,1,7,2,472.45,228.943662,0,472.45,228.943662,0
West,902,West Central Plant,2019,1,7,3,478.44,214.5422535,0,478.44,214.5422535,0
West,902,West Central Plant,2019,1,7,4,438.5,268.8028169,0,438.5,268.8028169,0
West,902,West Central Plant,2019,1,7,5,277.11,496.4084507,0,277.11,496.4084507,0
West,902,West Central Plant,2019,1,7,6,267.4,407.7112676,0,267.4,407.7112676,0
West,902,West Central Plant,2019,1,7,7,253.54,446.0915493,0,253.54,446.0915493,0
West,902,West Central Plant,2019,1,7,8,201.01,489.0492958,0,201.01,489.0492958,0
West,902,West Central Plant,2019,1,7,9,192.02,525.0704225,0,192.02,525.0704225,0
West,902,West Central Plant,2019,1,7,10,177.41,643.7676056,0,177.41,643.7676056,0
West,902,West Central Plant,2019,1,7,11,174.56,723.6971831,0,174.56,723.6971831,0
West,902,West Central Plant,2019,1,7,12,157.15,816.056338,0,157.15,816.056338,0
West,902,West Central Plant,2019,1,7,13,164.81,881.3380282,0,164.81,881.3380282,0
West,902,West Central Plant,2019,1,7,14,157,867.1126761,0,157,867.1126761,0
West,902,West Central Plant,2019,1,7,15,154.96,922.8521127,0,154.96,922.8521127,0
West,902,West Central Plant,2019,1,7,16,152.72,941.9014085,0,152.72,941.9014085,0
West,902,West Central Plant,2019,1,7,17,159.77,923.3450704,0,159.77,923.3450704,0
West,902,West Central Plant,2019,1,7,18,221.83,798.6971831,0,221.83,798.6971831,0
West,902,West Central Plant,2019,1,7,19,229.91,750.7394366,0,229.91,750.7394366,0
West,902,West Central Plant,2019,1,7,20,238.03,716.2676056,0,238.03,716.2676056,0
West,902,West Central Plant,2019,1,7,21,240.52,631.056338,0,240.52,631.056338,0
West,902,West Central Plant,2019,1,7,22,221.54,528.415493,0,221.54,528.415493,0
West,902,West Central Plant,2019,1,7,23,557.77,246.0211268,0,557.77,246.0211268,0
West,902,West Central Plant,2019,1,8,0,712.25,240.7042254,0,712.25,240.7042254,0
West,902,West Central Plant,2019,1,8,1,702.16,293.9788732,0,702.16,293.9788732,0
West,902,West Central Plant,2019,1,8,2,678.98,357.2183099,0,678.98,357.2183099,0
West,902,West Central Plant,2019,1,8,3,665.52,234.1549296,0,665.52,234.1549296,0
West,902,West Central Plant,2019,1,8,4,638.91,316.4788732,0,638.91,316.4788732,0
West,902,West Central Plant,2019,1,8,5,455.14,531.0211268,0,455.14,531.0211268,0
West,902,West Central Plant,2019,1,8,6,277.19,377.9929577,0,277.19,377.9929577,0
West,902,West Central Plant,2019,1,8,7,263.63,465.0704225,0,263.63,465.0704225,0
West,902,West Central Plant,2019,1,8,8,205.13,442.8873239,0,205.13,442.8873239,0
West,902,West Central Plant,2019,1,8,9,184.66,507.8169014,0,184.66,507.8169014,0
West,902,West Central Plant,2019,1,8,10,182.3,641.2323944,0,182.3,641.2323944,0
West,902,West Central Plant,2019,1,8,11,175.8,769.6830986,0,175.8,769.6830986,0
West,902,West Central Plant,2019,1,8,12,164.65,942.0422535,0,164.65,942.0422535,0
West,902,West Central Plant,2019,1,8,13,159.06,1065.915493,0,159.06,1065.915493,0
West,902,West Central Plant,2019,1,8,14,141.92,1177.007042,0,141.92,1177.007042,0
West,902,West Central Plant,2019,1,8,15,140.39,1282.007042,0,140.39,1282.007042,0
West,902,West Central Plant,2019,1,8,16,136.74,1267.429577,0,136.74,1267.429577,0
West,902,West Central Plant,2019,1,8,17,144.15,1194.71831,0,144.15,1194.71831,0
West,902,West Central Plant,2019,1,8,18,215.24,995.8098592,0,215.24,995.8098592,0
West,902,West Central Plant,2019,1,8,19,215.6,877.1126761,0,215.6,877.1126761,0
West,902,West Central Plant,2019,1,8,20,223.06,799.5774648,0,223.06,799.5774648,0
West,902,West Central Plant,2019,1,8,21,221.28,712.8521127,0,221.28,712.8521127,0
West,902,West Central Plant,2019,1,8,22,515.96,556.4788732,0,515.96,556.4788732,0
West,902,West Central Plant,2019,1,8,23,740.11,284.5422535,0,740.11,284.5422535,0
West,902,West Central Plant,2019,1,9,0,721.17,291.4084507,0,721.17,291.4084507,0
West,902,West Central Plant,2019,1,9,1,687.27,281.0915493,0,687.27,281.0915493,0
West,902,West Central Plant,2019,1,9,2,650.88,302.6056338,0,650.88,302.6056338,0
West,902,West Central Plant,2019,1,9,3,389.54,252.5,0,389.54,252.5,0
West,902,West Central Plant,2019,1,9,4,256.34,305.6338028,0,256.34,305.6338028,0
West,902,West Central Plant,2019,1,9,5,245.59,594.8943662,0,245.59,594.8943662,0
West,902,West Central Plant,2019,1,9,6,243,517.4295775,0,243,517.4295775,0
West,902,West Central Plant,2019,1,9,7,233.58,603.3450704,0,233.58,603.3450704,0
West,902,West Central Plant,2019,1,9,8,188.86,606.443662,0,188.86,606.443662,0
West,902,West Central Plant,2019,1,9,9,175.44,620.1760563,0,175.44,620.1760563,0
West,902,West Central Plant,2019,1,9,10,171.9,758.9084507,0,171.9,758.9084507,0
West,902,West Central Plant,2019,1,9,11,156.18,866.7605634,0,156.18,866.7605634,0
West,902,West Central Plant,2019,1,9,12,159.19,994.0140845,0,159.19,994.0140845,0
West,902,West Central Plant,2019,1,9,13,154.8,1081.091549,0,154.8,1081.091549,0
West,902,West Central Plant,2019,1,9,14,137.66,1210.528169,0,137.66,1210.528169,0
West,902,West Central Plant,2019,1,9,15,137.74,1335.84507,0,137.74,1335.84507,0
West,902,West Central Plant,2019,1,9,16,137.78,1330.633803,0,137.78,1330.633803,0
West,902,West Central Plant,2019,1,9,17,143.4,1239.295775,0,143.4,1239.295775,0
West,902,West Central Plant,2019,1,9,18,211.34,1041.93662,0,211.34,1041.93662,0
West,902,West Central Plant,2019,1,9,19,213.78,930.5633803,0,213.78,930.5633803,0
West,902,West Central Plant,2019,1,9,20,213.65,913.8380282,0,213.65,913.8380282,0
West,902,West Central Plant,2019,1,9,21,212.6,829.9295775,0,212.6,829.9295775,0
West,902,West Central Plant,2019,1,9,22,551.32,605.528169,0,551.32,605.528169,0
West,902,West Central Plant,2019,1,9,23,729.35,406.2323944,0,729.35,406.2323944,0
West,902,West Central Plant,2019,1,10,0,720.67,400.2112676,0,720.67,400.2112676,0
West,902,West Central Plant,2019,1,10,1,709.17,352.3943662,0,709.17,352.3943662,0
West,902,West Central Plant,2019,1,10,2,693.1,293.6971831,0,693.1,293.6971831,0
West,902,West Central Plant,2019,1,10,3,672.07,305.3873239,0,672.07,305.3873239,0
West,902,West Central Plant,2019,1,10,4,643.6,403.9084507,0,643.6,403.9084507,0
West,902,West Central Plant,2019,1,10,5,470.02,708.943662,0,470.02,708.943662,0
West,902,West Central Plant,2019,1,10,6,254.88,592.5,0,254.88,592.5,0
West,902,West Central Plant,2019,1,10,7,242.43,655.5633803,0,242.43,655.5633803,0
West,902,West Central Plant,2019,1,10,8,179.1,660.5633803,0,179.1,660.5633803,0
West,902,West Central Plant,2019,1,10,9,178.11,698.6267606,0,178.11,698.6267606,0
West,902,West Central Plant,2019,1,10,10,95.31,439.084507,0,95.31,439.084507,0
West,902,West Central Plant,2019,1,10,11,166.77,944.5070423,0,166.77,944.5070423,0
West,902,West Central Plant,2019,1,10,12,164.39,966.8309859,0,164.39,966.8309859,0
West,902,West Central Plant,2019,1,10,13,165.58,1067.957746,0,165.58,1067.957746,0
West,902,West Central Plant,2019,1,10,14,157.82,1235.070423,0,157.82,1235.070423,0
West,902,West Central Plant,2019,1,10,15,142.5,1235.352113,0,142.5,1235.352113,0
West,902,West Central Plant,2019,1,10,16,138.53,1143.521127,0,138.53,1143.521127,0
West,902,West Central Plant,2019,1,10,17,152.68,1090.316901,0,152.68,1090.316901,0
West,902,West Central Plant,2019,1,10,18,213.33,978.0633803,0,213.33,978.0633803,0
West,902,West Central Plant,2019,1,10,19,215.21,916.7957746,0,215.21,916.7957746,0
West,902,West Central Plant,2019,1,10,20,216.08,832.4647887,0,216.08,832.4647887,0
West,902,West Central Plant,2019,1,10,21,225.66,718.2394366,0,225.66,718.2394366,0
West,902,West Central Plant,2019,1,10,22,671.71,580.4929577,0,671.71,580.4929577,0
West,902,West Central Plant,2019,1,10,23,721.51,331.9366197,0,721.51,331.9366197,0
West,902,West Central Plant,2019,1,11,0,713.54,294.2957746,0,713.54,294.2957746,0
West,902,West Central Plant,2019,1,11,1,696.39,270.915493,0,696.39,270.915493,0
West,902,West Central Plant,2019,1,11,2,667.56,283.3098592,0,667.56,283.3098592,0
West,902,West Central Plant,2019,1,11,3,651.25,295.3873239,0,651.25,295.3873239,0
West,902,West Central Plant,2019,1,11,4,487.68,355.5633803,0,487.68,355.5633803,0
West,902,West Central Plant,2019,1,11,5,262.24,540.2112676,0,262.24,540.2112676,0
West,902,West Central Plant,2019,1,11,6,261.27,485.7394366,0,261.27,485.7394366,0
West,902,West Central Plant,2019,1,11,7,240.98,546.1267606,0,240.98,546.1267606,0
West,902,West Central Plant,2019,1,11,8,196.41,525.3169014,0,196.41,525.3169014,0
West,902,West Central Plant,2019,1,11,9,184.15,596.8661972,0,184.15,596.8661972,0
West,902,West Central Plant,2019,1,11,10,184.41,712.5352113,0,184.41,712.5352113,0
West,902,West Central Plant,2019,1,11,11,174.06,835.3169014,0,174.06,835.3169014,0
West,902,West Central Plant,2019,1,11,12,163.26,967.7816901,0,163.26,967.7816901,0
West,902,West Central Plant,2019,1,11,13,157.11,1053.450704,0,157.11,1053.450704,0
West,902,West Central Plant,2019,1,11,14,145.48,1136.338028,0,145.48,1136.338028,0
West,902,West Central Plant,2019,1,11,15,141.07,1185.880282,0,141.07,1185.880282,0
West,902,West Central Plant,2019,1,11,16,149.27,1174.859155,0,149.27,1174.859155,0
West,902,West Central Plant,2019,1,11,17,152.7,1089.577465,0,152.7,1089.577465,0
West,902,West Central Plant,2019,1,11,18,215.62,1028.098592,0,215.62,1028.098592,0
West,902,West Central Plant,2019,1,11,19,218.96,939.7887324,0,218.96,939.7887324,0
West,902,West Central Plant,2019,1,11,20,221.18,828.3450704,0,221.18,828.3450704,0
West,902,West Central Plant,2019,1,11,21,230.03,726.6901408,0,230.03,726.6901408,0
West,902,West Central Plant,2019,1,11,22,294.33,610.1408451,0,294.33,610.1408451,0
West,902,West Central Plant,2019,1,11,23,715.36,203.1338028,0,715.36,203.1338028,0
West,902,West Central Plant,2019,1,12,0,717.24,252.0774648,0,717.24,252.0774648,0
West,902,West Central Plant,2019,1,12,1,697.7,304.0140845,0,697.7,304.0140845,0
West,902,West Central Plant,2019,1,12,2,674.85,264.6478873,0,674.85,264.6478873,0
West,902,West Central Plant,2019,1,12,3,613,282.9577465,0,613,282.9577465,0
West,902,West Central Plant,2019,1,12,4,436.04,270.1408451,0,436.04,270.1408451,0
West,902,West Central Plant,2019,1,12,5,230.92,358.6619718,0,230.92,358.6619718,0
West,902,West Central Plant,2019,1,12,6,234.82,567.6760563,0,234.82,567.6760563,0
West,902,West Central Plant,2019,1,12,7,202.12,486.2676056,0,202.12,486.2676056,0
West,902,West Central Plant,2019,1,12,8,147.44,463.5211268,0,147.44,463.5211268,0
West,902,West Central Plant,2019,1,12,9,147.58,517.1126761,0,147.58,517.1126761,0
West,902,West Central Plant,2019,1,12,10,132.43,618.943662,0,132.43,618.943662,0
West,902,West Central Plant,2019,1,12,11,126.97,723.4859155,0,126.97,723.4859155,0
West,902,West Central Plant,2019,1,12,12,126.69,848.7323944,0,126.69,848.7323944,0
West,902,West Central Plant,2019,1,12,13,127.06,897.4647887,0,127.06,897.4647887,0
West,902,West Central Plant,2019,1,12,14,120.78,972.1478873,0,120.78,972.1478873,0
West,902,West Central Plant,2019,1,12,15,115.74,1004.612676,0,115.74,1004.612676,0
West,902,West Central Plant,2019,1,12,16,125.91,908.943662,0,125.91,908.943662,0
West,902,West Central Plant,2019,1,12,17,133.94,867.6760563,0,133.94,867.6760563,0
West,902,West Central Plant,2019,1,12,18,197.8,891.7957746,0,197.8,891.7957746,0
West,902,West Central Plant,2019,1,12,19,195.38,767.6056338,0,195.38,767.6056338,0
West,902,West Central Plant,2019,1,12,20,194.59,680.5633803,0,194.59,680.5633803,0
West,902,West Central Plant,2019,1,12,21,194.1,574.8591549,0,194.1,574.8591549,0
West,902,West Central Plant,2019,1,12,22,196.42,260.7746479,0,196.42,260.7746479,0
West,902,West Central Plant,2019,1,12,23,202.32,248.3098592,0,202.32,248.3098592,0
West,902,West Central Plant,2019,1,13,0,719.34,269.0492958,0,719.34,269.0492958,0
West,902,West Central Plant,2019,1,13,1,696.72,306.6549296,0,696.72,306.6549296,0
West,902,West Central Plant,2019,1,13,2,689.85,315.3873239,0,689.85,315.3873239,0
West,902,West Central Plant,2019,1,13,3,654.17,272.7112676,0,654.17,272.7112676,0
West,902,West Central Plant,2019,1,13,4,649.27,261.8661972,0,649.27,261.8661972,0
West,902,West Central Plant,2019,1,13,5,469.7,298.5211268,0,469.7,298.5211268,0
West,902,West Central Plant,2019,1,13,6,223.95,240.0704225,0,223.95,240.0704225,0
West,902,West Central Plant,2019,1,13,7,206.06,266.0211268,0,206.06,266.0211268,0
West,902,West Central Plant,2019,1,13,8,140.72,468.4507042,0,140.72,468.4507042,0
West,902,West Central Plant,2019,1,13,9,129.02,429.6126761,0,129.02,429.6126761,0
West,902,West Central Plant,2019,1,13,10,129.47,505.8802817,0,129.47,505.8802817,0
West,902,West Central Plant,2019,1,13,11,123.61,598.7676056,0,123.61,598.7676056,0
West,902,West Central Plant,2019,1,13,12,124.93,625.7746479,0,124.93,625.7746479,0
West,902,West Central Plant,2019,1,13,13,126.41,665.4577465,0,126.41,665.4577465,0
West,902,West Central Plant,2019,1,13,14,124.26,688.8732394,0,124.26,688.8732394,0
West,902,West Central Plant,2019,1,13,15,122.96,696.443662,0,122.96,696.443662,0
West,902,West Central Plant,2019,1,13,16,122.16,725.6690141,0,122.16,725.6690141,0
West,902,West Central Plant,2019,1,13,17,126.82,621.971831,0,126.82,621.971831,0
West,902,West Central Plant,2019,1,13,18,193.65,618.4859155,0,193.65,618.4859155,0
West,902,West Central Plant,2019,1,13,19,194.15,562.3943662,0,194.15,562.3943662,0
West,902,West Central Plant,2019,1,13,20,202.09,566.7957746,0,202.09,566.7957746,0
West,902,West Central Plant,2019,1,13,21,197.29,481.4084507,0,197.29,481.4084507,0
West,902,West Central Plant,2019,1,13,22,204.09,472.8873239,0,204.09,472.8873239,0
West,902,West Central Plant,2019,1,13,23,205.48,241.7957746,0,205.48,241.7957746,0
West,902,West Central Plant,2019,1,14,0,554.64,196.7957746,0,554.64,196.7957746,0
West,902,West Central Plant,2019,1,14,1,668.88,255.5985915,0,668.88,255.5985915,0
West,902,West Central Plant,2019,1,14,2,648.63,259.7535211,0,648.63,259.7535211,0
West,902,West Central Plant,2019,1,14,3,699.1,277.8169014,0,699.1,277.8169014,0
West,902,West Central Plant,2019,1,14,4,640.63,393.1690141,0,640.63,393.1690141,0
West,902,West Central Plant,2019,1,14,5,257.32,623.3450704,0,257.32,623.3450704,0
West,902,West Central Plant,2019,1,14,6,265.01,315.7746479,0,265.01,315.7746479,0
